,평점,일시,감상평
94,8,2019.05.24 15:12,"다른건 다좋았는데 좀 별로라고 생각했던게근데 자스민 공주가 돈도 없으면서 빵 그냥  준건  좀 어이없었음 ㅋㅋ물론 그 장면이 있어야했지만 너무 뻔뻔함 ㅋㅋ앞뒷말도 안맞고.. 그 상인들은 백성이 아닝가 ,,? ㅎ"
95,10,2019.05.26 21:07,"알라딘 춤실력 킹왕짱이였음, 힙합, 비보이댄스나올줄이야ㅋㅋ전체적으로 너무신났고 어꺠 들썩거리면서 봤음, 물론 감동은 기본임...ㅠ흑"
96,9,2019.05.23 22:13,나올 때 돈 안 아까운 영화쟈스민 너무 이쁘고 노래도 잘하고OST 도 너무 좋았어요
97,10,2019.05.24 01:05,"다 아는 내용인데도, 다 아는 노래인데도, a whole new world  전율이 쫙~  이런게 상업영화의 재능! 극장에선 이런걸봐야지!"
98,10,2019.05.24 01:07,"눈호강에 배우들 연기도 너무 좋아요ㅠㅠ 자스민 공주 너무 이쁘고 음악은 말할것도 없어요!!! 알라딘이 점점 잘생겨보이는 마법,,,,윌스미스 지니랑 찰떡...!"
99,9,2019.05.23 12:55,재밌어요 ㅎㅎ 노래가 너무 좋습니다
100,9,2019.05.25 01:17,예고편이 잘못했다! 정말 재밋습니다. 특히 윌스미스 좋아하시는 분들 당장가서 보세요
101,10,2019.05.25 10:39,나오미스콧 speechless 들어보고 얘기합시다a whole new world 자체도 감동인데막판에 고음으로 한방 끝장나네요노래 진짜 잘함
102,10,2019.05.24 00:10,진짜 이 영화는 음질 좋은데서 보세요ㅠㅠ제발ㅜㅠㅜ최고에요...
103,8,2019.05.29 10:19,"실사화 했을 때 &#39;지니&#39;가 어색하지 않을까 걱정했는데, 윌 스미스가 천재적인 능청스러움으로 완벽하게 살려냈다. 주체적인 인물로 자스민을 그려낸 것도 훌륭하다. 써라운드 상영관에서 듣는 OST는 말할것도 없다. "
104,10,2019.05.31 17:29,백마탄 왕자 기다리는 옛날 스타일 여자가 아니라 스스로 쟁취하는 여성의 스토리라 참 좋음. 요즘 여성상 속에서 자라나는 여자아이들은 괜찮을듯.
